n;T1;T2;T4;T6;T8;T10;T12;T14;T16;T18;T20;T2(red);T4(red);T6(red);T8(red);T10(red);T12(red);T14(red);T16(red);T18(red);T20(red)
48;0.000003220;0.000036220;0.000043520;0.000057080;0.000063060;0.000068280;0.000087260;0.000101840;0.000096100;0.000113700;0.000118860;0.000032400;0.000037740;0.000055640;0.000064660;0.000065700;0.000083220;0.000094180;0.000092900;0.000099820;0.000095560
49;0.000003340;0.000034780;0.000043360;0.000061380;0.000067740;0.000089820;0.000087900;0.000111000;0.000112680;0.000108740;0.000119220;0.000032560;0.000038340;0.000064740;0.000069520;0.000073540;0.000084480;0.000084460;0.000111920;0.000189080;0.000134160
50;0.000003560;0.000043920;0.000050780;0.000070900;0.000076480;0.000078400;0.000086800;0.000097580;0.000104560;0.000106380;0.000115900;0.000034000;0.000038300;0.000060220;0.000072660;0.000081740;0.000092360;0.000094120;0.000090240;0.000097580;0.000117120
51;0.000003640;0.000040200;0.000044340;0.000065160;0.000079640;0.000091840;0.000096960;0.000103700;0.000112200;0.000127660;0.000134480;0.000037940;0.000043200;0.000066140;0.000068360;0.000077660;0.000084460;0.000095120;0.000097980;0.000109800;0.000108400
52;0.000003740;0.000034320;0.000045840;0.000055940;0.000062980;0.000072560;0.000091820;0.000108400;0.000117200;0.000104180;0.000119220;0.000033880;0.000038540;0.000062260;0.000066260;0.000069080;0.000084740;0.000096280;0.000093240;0.000096880;0.000101740
53;0.000003920;0.000038840;0.000048080;0.000055000;0.000064000;0.000069740;0.000084620;0.000093340;0.000569620;0.000272540;0.000124060;0.000034320;0.000039380;0.000062920;0.000071440;0.000076020;0.000087420;0.000099200;0.000099240;0.000103080;0.000101700
54;0.000004160;0.000035300;0.000040700;0.000056900;0.000064920;0.000073420;0.000086260;0.000091920;0.000112180;0.000099500;0.000124840;0.000032680;0.000038380;0.000055760;0.000065840;0.000072060;0.000080380;0.000094920;0.000100720;0.000101340;0.000104100
55;0.000004160;0.000034420;0.000040280;0.000056480;0.000071460;0.000072400;0.000100040;0.000095480;0.000101020;0.000101040;0.000119780;0.000032840;0.000038200;0.000053800;0.000065440;0.000069340;0.000083660;0.000093940;0.000099340;0.000101380;0.000115060
56;0.000004380;0.000052280;0.000040020;0.000055060;0.000063880;0.000070920;0.000083840;0.000086880;0.000097820;0.000103800;0.000118320;0.000033020;0.000038900;0.000054060;0.000065440;0.000070860;0.000084700;0.000099360;0.000107840;0.000102600;0.000111020
57;0.000004520;0.000035740;0.000040480;0.000055900;0.000066320;0.000069000;0.000086120;0.000091540;0.000097500;0.000104640;0.000118600;0.000032860;0.000038000;0.000054380;0.000072540;0.000082460;0.000098900;0.000096220;0.000090240;0.000097760;0.000102700
58;0.000004680;0.000034380;0.000040580;0.000057480;0.000064360;0.000068460;0.000084520;0.000094840;0.000103400;0.000106420;0.000124200;0.000033460;0.000038520;0.000057340;0.000065200;0.000067460;0.000092600;0.000092280;0.000095080;0.000098860;0.000101440
59;0.000004800;0.000033980;0.000045300;0.000058540;0.000065120;0.000071340;0.000086480;0.000103880;0.000102720;0.000117020;0.000113980;0.000033300;0.000041620;0.000058000;0.000066180;0.000068700;0.000084320;0.000097720;0.000091360;0.000101760;0.000110120
60;0.000004920;0.000040960;0.000038460;0.000052900;0.000069420;0.000084320;0.000088720;0.000094660;0.000100860;0.000103280;0.000121520;0.000033260;0.000038560;0.000054840;0.000074400;0.000073180;0.000088580;0.000090520;0.000090660;0.000096400;0.000106660
61;0.000005240;0.000034260;0.000054940;0.000056980;0.000066040;0.000070160;0.000086120;0.000091560;0.000097700;0.000105280;0.000124020;0.000032700;0.000037860;0.000056300;0.000065800;0.000068380;0.000084640;0.000095700;0.000109520;0.000097680;0.000104780
62;0.000005300;0.000034780;0.000043000;0.000054600;0.000067520;0.000069960;0.000087480;0.000093780;0.000098660;0.000117320;0.000124500;0.000035500;0.000062180;0.000064760;0.000069900;0.000075900;0.000100600;0.000090200;0.000093820;0.000100240;0.000107920
63;0.000005380;0.000035880;0.000040700;0.000059980;0.000063460;0.000069160;0.000086560;0.000092500;0.000101380;0.000105960;0.000135640;0.000033560;0.000038420;0.000055280;0.000065120;0.000069780;0.000082580;0.000092140;0.000099180;0.000098940;0.000100560
64;0.000005600;0.000035080;0.000045140;0.000057360;0.000063040;0.000070280;0.000084340;0.000126240;0.000110180;0.000113100;0.000121640;0.000033200;0.000038360;0.000055380;0.000070560;0.000068720;0.000084720;0.000094220;0.000091040;0.000107060;0.000103040
65;0.000007020;0.000035940;0.000051980;0.000060680;0.000080600;0.000069980;0.000082280;0.000087360;0.000101700;0.000101540;0.000120100;0.000033700;0.000038260;0.000056560;0.000065180;0.000067860;0.000086160;0.000094660;0.000087640;0.000113300;0.000114800
66;0.000006020;0.000036160;0.000050140;0.000061320;0.000066840;0.000070960;0.000084500;0.000097460;0.000099440;0.000107460;0.000110600;0.000033460;0.000040240;0.000055540;0.000065920;0.000073520;0.000092660;0.000101840;0.000089700;0.000102600;0.000099960
67;0.000006100;0.000038000;0.000038980;0.000056740;0.000064420;0.000077540;0.000086000;0.000095020;0.000098760;0.000111980;0.000118560;0.000033460;0.000044660;0.000062900;0.000080040;0.000069780;0.000081780;0.000086360;0.000091860;0.000100640;0.000100800
68;0.000006340;0.000035000;0.000040780;0.000056800;0.000064540;0.000067560;0.000089200;0.000096180;0.000097260;0.000102460;0.000135700;0.000033940;0.000038900;0.000061500;0.000065300;0.000068240;0.000081180;0.000090520;0.000095820;0.000101320;0.000107560
69;0.000006500;0.000035420;0.000039620;0.000058020;0.000063600;0.000070360;0.000096700;0.000105360;0.000095360;0.000105260;0.000114100;0.000033820;0.000039720;0.000055060;0.000065780;0.000069940;0.000082900;0.000094780;0.000097680;0.000095960;0.000106820
70;0.000006640;0.000037940;0.000054580;0.000061880;0.000078600;0.000068840;0.000080940;0.000097020;0.000100400;0.000105080;0.000115680;0.000034200;0.000038860;0.000053880;0.000068340;0.000071640;0.000090460;0.000094620;0.000094140;0.000100360;0.000121420
71;0.000006840;0.000036160;0.000042540;0.000060940;0.000059680;0.000071380;0.000087340;0.000093500;0.000099040;0.000105940;0.000121100;0.000034120;0.000038520;0.000057640;0.000065700;0.000072420;0.000089920;0.000096260;0.000091380;0.000102120;0.000105920
72;0.000007040;0.000036160;0.000039620;0.000055600;0.000065140;0.000069520;0.000084460;0.000092840;0.000101920;0.000111620;0.000117640;0.000033900;0.000047960;0.000063120;0.000073800;0.000071880;0.000084120;0.000089160;0.000096300;0.000102640;0.000105300
73;0.000007260;0.000039840;0.000038860;0.000054400;0.000062620;0.000071600;0.000085160;0.000096660;0.000100560;0.000127940;0.000146280;0.000035720;0.000053120;0.000065480;0.000072160;0.000075000;0.000085860;0.000094640;0.000090960;0.000097460;0.000100440
74;0.000007600;0.000035480;0.000041140;0.000055100;0.000066240;0.000078840;0.000101280;0.000120140;0.000095780;0.000104800;0.000115960;0.000035620;0.000038860;0.000053840;0.000066340;0.000070740;0.000082220;0.000099500;0.000097880;0.000105360;0.000103600
75;0.000007620;0.000037940;0.000056960;0.000056360;0.000065920;0.000069720;0.000084520;0.000090880;0.000108140;0.000102680;0.000176260;0.000034400;0.000039140;0.000064460;0.000066840;0.000070780;0.000103160;0.000100220;0.000101280;0.000100880;0.000105420
76;0.000008920;0.000039120;0.000045200;0.000055120;0.000066600;0.000073320;0.000085220;0.000095140;0.000095840;0.000107040;0.000121720;0.000034700;0.000038840;0.000058060;0.000072540;0.000084480;0.000085440;0.000093320;0.000089080;0.000096160;0.000106300
77;0.000008260;0.000036220;0.000040520;0.000057580;0.000068280;0.000072600;0.000089380;0.000093960;0.000101820;0.000115200;0.000119740;0.000034860;0.000039200;0.000057380;0.000066240;0.000068280;0.000088080;0.000094440;0.000090260;0.000108600;0.000102080
78;0.000008180;0.000035940;0.000041800;0.000059160;0.000059100;0.000073840;0.000089000;0.000113640;0.000103880;0.000109680;0.000110480;0.000036640;0.000043620;0.000056100;0.000065860;0.000070500;0.000086160;0.000096020;0.000090900;0.000196360;0.000108180
79;0.000015660;0.000037380;0.000044460;0.000064800;0.000069260;0.000074160;0.000084880;0.000092020;0.000102600;0.000107300;0.000113640;0.000035120;0.000040340;0.000054060;0.000066080;0.000072040;0.000085520;0.000097300;0.000102420;0.000120400;0.000101620
80;0.000008660;0.000036880;0.000041880;0.000056380;0.000065260;0.000070460;0.000085400;0.000097680;0.000093820;0.000109100;0.000114280;0.000034940;0.000039460;0.000054300;0.000067800;0.000077860;0.000106840;0.000093340;0.000093100;0.000095720;0.000105480
81;0.000008840;0.000039860;0.000042980;0.000054820;0.000066340;0.000070800;0.000088900;0.000088700;0.000098720;0.000105340;0.000113960;0.000035740;0.000039900;0.000060720;0.000075560;0.000066880;0.000093880;0.000087920;0.000094940;0.000099660;0.000106000
82;0.000009140;0.000036860;0.000041340;0.000057400;0.000064380;0.000071280;0.000082720;0.000092900;0.000093480;0.000122200;0.000112020;0.000035700;0.000049540;0.000058240;0.000066280;0.000072820;0.000084220;0.000095520;0.000095060;0.000105540;0.000104660
83;0.000009260;0.000036160;0.000040560;0.000056520;0.000066400;0.000080080;0.000092020;0.000101520;0.000100940;0.000103340;0.000115020;0.000035300;0.000039680;0.000055400;0.000067720;0.000071160;0.000086080;0.000092140;0.000094380;0.000102720;0.000102060
84;0.000009440;0.000037800;0.000055520;0.000057760;0.000063120;0.000070520;0.000081980;0.000091220;0.000093480;0.000110520;0.000130800;0.000039300;0.000041660;0.000055420;0.000066440;0.000071640;0.000090180;0.000094720;0.000106860;0.000097260;0.000102260
85;0.000009720;0.000037980;0.000044600;0.000055940;0.000066280;0.000068140;0.000083700;0.000099420;0.000098160;0.000107900;0.000117660;0.000036360;0.000039380;0.000055960;0.000067800;0.000079320;0.000102480;0.000090940;0.000094240;0.000097260;0.000104760
86;0.000010040;0.000037640;0.000040860;0.000055940;0.000067260;0.000073960;0.000091820;0.000098180;0.000098480;0.000104260;0.000122620;0.000036120;0.000039920;0.000066880;0.000067440;0.000068920;0.000083660;0.000091800;0.000093700;0.000094440;0.000100560
87;0.000011380;0.000038720;0.000041580;0.000054640;0.000065440;0.000071260;0.000081580;0.000099580;0.000107020;0.000112240;0.000120320;0.000037120;0.000039480;0.000055220;0.000065580;0.000069860;0.000086840;0.000094600;0.000090980;0.000097800;0.000103880
88;0.000010640;0.000041160;0.000041360;0.000053620;0.000079780;0.000090120;0.000136240;0.000096740;0.000101360;0.000101280;0.000122180;0.000036160;0.000039840;0.000057660;0.000070840;0.000076960;0.000086400;0.000094180;0.000096580;0.000109920;0.000113400
89;0.000010760;0.000040220;0.000040980;0.000056920;0.000067260;0.000075580;0.000088140;0.000095820;0.000092660;0.000107500;0.000114100;0.000036560;0.000039720;0.000054360;0.000067540;0.000071460;0.000087020;0.000100280;0.000105380;0.000096660;0.000109280
90;0.000011000;0.000039360;0.000042560;0.000053520;0.000063420;0.000071960;0.000090800;0.000098660;0.000096720;0.000104820;0.000115720;0.000038540;0.000045040;0.000057760;0.000075400;0.000071940;0.000087100;0.000096020;0.000097420;0.000101720;0.000106720
91;0.000011620;0.000038920;0.000041640;0.000055720;0.000070520;0.000073080;0.000088620;0.000093440;0.000099700;0.000115940;0.000118020;0.000036340;0.000039880;0.000055560;0.000067680;0.000068680;0.000086260;0.000096320;0.000107220;0.000105620;0.000103480
92;0.000011260;0.000043600;0.000042260;0.000061160;0.000068400;0.000087300;0.000091420;0.000088960;0.000102080;0.000104880;0.000118700;0.000036680;0.000039680;0.000055240;0.000066920;0.000070480;0.000085780;0.000088800;0.000090460;0.000102620;0.000118260
93;0.000011820;0.000055240;0.000040100;0.000058740;0.000068700;0.000070940;0.000102280;0.000088220;0.000095860;0.000105540;0.000116220;0.000037020;0.000039320;0.000055140;0.000066100;0.000075900;0.000092460;0.000100400;0.000103420;0.000097000;0.000101280
94;0.000012240;0.000038060;0.000045220;0.000058700;0.000066560;0.000069100;0.000084120;0.000098420;0.000097540;0.000107900;0.000115840;0.000037040;0.000039540;0.000052980;0.000070060;0.000075940;0.000087340;0.000095360;0.000091520;0.000115180;0.000101520
95;0.000012260;0.000040420;0.000042480;0.000057960;0.000067360;0.000071480;0.000089680;0.000089060;0.000102280;0.000105160;0.000126420;0.000037320;0.000040060;0.000053760;0.000076120;0.000070160;0.000086640;0.000091740;0.000087540;0.000106800;0.000106920
96;0.000012480;0.000038220;0.000041960;0.000061720;0.000068240;0.000071900;0.000090660;0.000103940;0.000114860;0.000112920;0.000112260;0.000039820;0.000046280;0.000060900;0.000067240;0.000072040;0.000089640;0.000092000;0.000090460;0.000101040;0.000107500
97;0.000012980;0.000047580;0.000052040;0.000068380;0.000066380;0.000071220;0.000086840;0.000097100;0.000094680;0.000104120;0.000126020;0.000037460;0.000041000;0.000061960;0.000068760;0.000068460;0.000088460;0.000093300;0.000097000;0.000099460;0.000116920
98;0.000014660;0.000042180;0.000042140;0.000055640;0.000066620;0.000073160;0.000082360;0.000096800;0.000100500;0.000114380;0.000110140;0.000040940;0.000040340;0.000055100;0.000067640;0.000088220;0.000097740;0.000095360;0.000095540;0.000097160;0.000107800
99;0.000013400;0.000040780;0.000040500;0.000060020;0.000065280;0.000070660;0.000087820;0.000090760;0.000111980;0.000103320;0.000128260;0.000041080;0.000051960;0.000056580;0.000066760;0.000075280;0.000085640;0.000097780;0.000094740;0.000096580;0.000103080
100;0.000013760;0.000049660;0.000051460;0.000057040;0.000069080;0.000072540;0.000088500;0.000102740;0.000107880;0.000105900;0.000111500;0.000037940;0.000040600;0.000056320;0.000066100;0.000067300;0.000082780;0.000098720;0.000090680;0.000101940;0.000101720
101;0.000013960;0.000039340;0.000041580;0.000074680;0.000083620;0.000079700;0.000090560;0.000145140;0.000097040;0.000104080;0.000121520;0.000044420;0.000040980;0.000065000;0.000070740;0.000069460;0.000090500;0.000093960;0.000106440;0.000107740;0.000116320
102;0.000014440;0.000042980;0.000041760;0.000055780;0.000062340;0.000075140;0.000091880;0.000094400;0.000097220;0.000102960;0.000117840;0.000037920;0.000042400;0.000054400;0.000067400;0.000078080;0.000094960;0.000090840;0.000093280;0.000109940;0.000105780
103;0.000014460;0.000041280;0.000051120;0.000059680;0.000071840;0.000073980;0.000090140;0.000088360;0.000105580;0.000103260;0.000123880;0.000050220;0.000061980;0.000060060;0.000068740;0.000073360;0.000085840;0.000089880;0.000090260;0.000098660;0.000100520
104;0.000014880;0.000045000;0.000043280;0.000057160;0.000068460;0.000071980;0.000093660;0.000094900;0.000106880;0.000103880;0.000115480;0.000038280;0.000040520;0.000054460;0.000079680;0.000072500;0.000084840;0.000088500;0.000096680;0.000103400;0.000100640
